,transaction_id,items,basket_size,basket_total
33,33,"['fruit/vegetable_juice', 'rolls/buns']",2,20.03
34,34,"['pip_fruit', 'tropical_fruit']",2,21.68
35,35,"['bottled_water', 'packaged_fruit/vegetables']",2,13.39
36,36,"['berries', 'whipped/sour_cream']",2,11.989999999999998
37,37,"['berries', 'citrus_fruit', 'processed_cheese', 'uht-milk']",4,31.96
38,38,"['tropical_fruit', 'whole_milk', 'yogurt']",3,38.62
39,39,"['cream_cheese', 'soda', 'whole_milk']",3,25.759999999999998
40,40,"['pastry', 'soda']",2,13.219999999999999
41,41,"['dessert', 'frankfurter']",2,18.32
42,42,"['berries', 'soda']",2,8.74
43,43,"['coffee', 'other_vegetables', 'tropical_fruit']",3,26.36
44,44,"['instant_food_products', 'rolls/buns']",2,11.94
45,45,"['frozen_vegetables', 'whole_milk']",2,16.22
46,46,"['frankfurter', 'rolls/buns']",2,12.329999999999998
47,47,"['pasta', 'popcorn']",2,12.52
48,48,"['coffee', 'shopping_bags']",2,12.010000000000002
49,49,"['butter', 'dessert', 'rolls/buns', 'whole_milk']",4,45.16
50,50,"['chewing_gum', 'frankfurter', 'soda']",3,15.940000000000001
51,51,"['bottled_water', 'specialty_cheese', 'tropical_fruit']",3,33.74
52,52,"['beverages', 'soda']",2,4.75
53,53,"['long_life_bakery_product', 'pastry', 'whole_milk']",3,38.16
54,54,"['cereals', 'cream_cheese', 'dog_food', 'whole_milk']",4,38.41
55,55,"['salt', 'whole_milk']",2,21.18
56,56,"['dessert', 'ice_cream']",2,17.06
57,57,"['ice_cream', 'other_vegetables']",2,12.37
58,58,"['bottled_water', 'other_vegetables']",2,17.11
59,59,"['candy', 'herbs']",2,12.35
60,60,"['frankfurter', 'rolls/buns']",2,12.329999999999998
61,61,"['curd', 'rolls/buns']",2,11.79
62,62,"['bottled_water', 'newspapers', 'whole_milk']",3,25.34
63,63,"['chewing_gum', 'rolls/buns']",2,19.259999999999998
64,64,"['citrus_fruit', 'pastry']",2,23.509999999999998
65,65,"['pastry', 'rolls/buns', 'soda']",3,21.759999999999998
66,66,"['coffee', 'condensed_milk', 'shopping_bags', 'sugar']",4,32.47
67,67,"['beverages', 'soda', 'uht-milk', 'whole_milk']",4,19.71
68,68,"['beverages', 'specialty_bar']",2,4.46
69,69,"['bottled_water', 'fruit/vegetable_juice']",2,18.759999999999998
70,70,"['cleaner', 'female_sanitary_products']",2,16.03
71,71,"['misc._beverages', 'newspapers']",2,17.81
72,72,"['bottled_water', 'mustard', 'whole_milk']",3,31.29
73,73,"['butter', 'meat', 'other_vegetables', 'rolls/buns']",4,37.739999999999995
74,74,"['margarine', 'semi-finished_bread', 'whipped/sour_cream', 'whole_milk']",4,34.58
75,75,"['citrus_fruit', 'rolls/buns', 'whole_milk']",3,32.69
76,76,"['bottled_water', 'hard_cheese', 'newspapers', 'rolls/buns']",4,31.66
77,77,"['chocolate', 'cream_cheese', 'rolls/buns', 'soda']",4,30.4
78,78,"['beverages', 'whole_milk']",2,15.75
79,79,"['rolls/buns', 'soda']",2,9.969999999999999
80,80,"['fruit/vegetable_juice', 'other_vegetables', 'pip_fruit']",3,28.36
81,81,"['other_vegetables', 'root_vegetables', 'yogurt']",3,26.599999999999998
82,82,"['detergent', 'pet_care', 'root_vegetables', 'whole_milk']",4,36.66
83,83,"['coffee', 'pickled_vegetables']",2,6.78
84,84,"['pastry', 'pip_fruit', 'salad_dressing', 'turkey']",4,26.6
85,85,"['citrus_fruit', 'tropical_fruit']",2,26.37
86,86,"['citrus_fruit', 'sauces', 'sugar']",3,29.91
87,87,"['bottled_water', 'citrus_fruit', 'packaged_fruit/vegetables', 'yogurt']",4,36.650000000000006
88,88,"['coffee', 'uht-milk']",2,4.4
89,89,"['beef', 'citrus_fruit', 'other_vegetables', 'yogurt']",4,35.84
90,90,"['brown_bread', 'instant_coffee', 'other_vegetables', 'yogurt']",4,40.370000000000005
91,91,"['bottled_water', 'cake_bar']",2,20.14
92,92,"['salty_snack', 'soda', 'tropical_fruit']",3,26.73
93,93,"['grapes', 'root_vegetables']",2,16.52
94,94,"['brown_bread', 'domestic_eggs', 'photo/film']",3,21.490000000000002
95,95,"['tropical_fruit', 'whole_milk']",2,27.08
96,96,"['hygiene_articles', 'margarine']",2,8.21
97,97,"['soda', 'specialty_chocolate']",2,6.01
98,98,"['frankfurter', 'rolls/buns']",2,12.329999999999998
99,99,"['cookware', 'salt', 'salty_snack']",3,24.16
100,100,"['butter', 'other_vegetables', 'specialty_chocolate']",3,24.08
101,101,"['butter_milk', 'frankfurter', 'whole_milk']",3,29.669999999999998
102,102,"['soda', 'whole_milk']",2,13.86
103,103,"['hygiene_articles', 'whole_milk']",2,13.78
104,104,"['citrus_fruit', 'curd', 'soft_cheese', 'whole_milk']",4,37.5
105,105,"['fruit/vegetable_juice', 'pastry']",2,23.28
106,106,"['bottled_water', 'other_vegetables']",2,17.11
107,107,"['berries', 'white_bread']",2,15.89
108,108,"['berries', 'coffee']",2,9.18
109,109,"['bottled_water', 'butter_milk', 'frozen_meals', 'other_vegetables']",4,37.959999999999994
110,110,"['newspapers', 'rolls/buns']",2,14.18
111,111,"['frozen_dessert', 'napkins', 'salty_snack', 'whole_milk']",4,45.08
112,112,"['bottled_water', 'butter_milk', 'rolls/buns', 'tropical_fruit']",4,43.91
113,113,"['butter_milk', 'yogurt']",2,24.99
114,114,"['hard_cheese', 'napkins', 'pastry']",3,32.13
115,115,"['beverages', 'frozen_dessert', 'onions', 'whole_milk']",4,34.46
116,116,"['chocolate', 'yogurt']",2,20.07
117,117,"['dish_cleaner', 'domestic_eggs', 'hygiene_articles', 'rolls/buns']",4,20.169999999999998
118,118,"['meat', 'other_vegetables', 'whipped/sour_cream', 'whole_milk']",4,36.65
119,119,"['bathroom_cleaner', 'dish_cleaner', 'hygiene_articles', 'napkins']",4,30.17
120,120,"['instant_food_products', 'other_vegetables', 'rolls/buns', 'whole_milk']",4,34.21
121,121,"['other_vegetables', 'tropical_fruit']",2,24.490000000000002
122,122,"['baking_powder', 'bottled_water', 'chewing_gum', 'salty_snack']",4,31.560000000000002
123,123,"['frankfurter', 'yogurt']",2,15.329999999999998
124,124,"['domestic_eggs', 'napkins', 'rolls/buns', 'specialty_bar']",4,23.700000000000003
125,125,"['other_vegetables', 'pet_care']",2,18.45
126,126,"['chewing_gum', 'soda']",2,12.15
127,127,"['bottled_water', 'male_cosmetics', 'pastry', 'root_vegetables']",4,25.11
128,128,"['berries', 'cake_bar', 'pet_care', 'shopping_bags']",4,38.93
129,129,"['canned_fruit', 'fruit/vegetable_juice', 'oil', 'whole_milk']",4,36.7
130,130,"['misc._beverages', 'soda']",2,13.6
131,131,"['bottled_water', 'soda']",2,8.7
132,132,"['other_vegetables', 'rolls/buns', 'tropical_fruit']",3,33.03
133,133,"['citrus_fruit', 'cream_cheese', 'frozen_vegetables', 'uht-milk']",4,29.94
134,134,"['cat_food', 'dessert', 'oil', 'soda']",4,34.13
135,135,"['coffee', 'hygiene_articles']",2,3.22
136,136,"['bottled_water', 'brown_bread', 'rolls/buns']",3,28.38
137,137,"['bottled_water', 'cling_film/bags', 'misc._beverages']",3,22.28
138,138,"['bottled_water', 'herbs']",2,17.46
139,139,"['rolls/buns', 'yogurt']",2,20.08
140,140,"['beef', 'root_vegetables']",2,7.96
141,141,"['honey', 'waffles', 'whole_milk']",3,22.91
142,142,"['cream_cheese', 'other_vegetables', 'whole_milk']",3,34.17
143,143,"['newspapers', 'rolls/buns', 'whole_milk']",3,26.61
144,144,"['dental_care', 'frankfurter', 'margarine']",3,21.25
145,145,"['other_vegetables', 'salty_snack']",2,20.490000000000002
146,146,"['bottled_water', 'shopping_bags']",2,17.41
147,147,"['domestic_eggs', 'other_vegetables', 'specialty_cheese', 'whipped/sour_cream']",4,30.23
148,148,"['cream_cheese', 'fruit/vegetable_juice', 'soda', 'whole_milk']",4,37.25
149,149,"['bottled_water', 'pastry']",2,19.06
150,150,"['frankfurter', 'soda']",2,5.22
151,151,"['candy', 'dessert']",2,16.689999999999998
152,152,"['bottled_water', 'other_vegetables', 'packaged_fruit/vegetables', 'uht-milk']",4,25.76
153,153,"['beverages', 'rolls/buns', 'soda']",3,13.29
154,154,"['brown_bread', 'salty_snack', 'shopping_bags', 'soda']",4,34.79
155,155,"['coffee', 'cream_cheese', 'whole_milk']",3,26.2
156,156,"['citrus_fruit', 'other_vegetables', 'soda']",3,22.990000000000002
157,157,"['other_vegetables', 'shopping_bags']",2,19.98
158,158,"['bottled_water', 'dessert', 'whole_milk']",3,34.23
159,159,"['misc._beverages', 'soda']",2,13.6
160,160,"['curd', 'whole_milk']",2,15.68
161,161,"['brown_bread', 'white_bread']",2,21.15
162,162,"['brown_bread', 'hygiene_articles', 'sugar']",3,28.5
163,163,"['coffee', 'detergent', 'hygiene_articles', 'photo/film']",4,18.65
164,164,"['other_vegetables', 'yogurt']",2,21.38
165,165,"['bottled_water', 'dishes', 'yogurt']",3,25.779999999999998
166,166,"['bottled_water', 'candy']",2,9.43
167,167,"['packaged_fruit/vegetables', 'seasonal_products']",2,12.14
168,168,"['margarine', 'other_vegetables']",2,16.7
169,169,"['herbs', 'yogurt']",2,21.729999999999997
170,170,"['citrus_fruit', 'rolls/buns', 'soda', 'spread_cheese']",4,26.56
171,171,"['female_sanitary_products', 'soda']",2,10.129999999999999
172,172,"['bottled_water', 'soda', 'waffles', 'white_bread']",4,19.990000000000002
173,173,"['chewing_gum', 'chocolate_marshmallow', 'coffee']",3,22.23
174,174,"['bottled_water', 'citrus_fruit']",2,18.990000000000002
175,175,"['frankfurter', 'rolls/buns']",2,12.329999999999998
176,176,"['fruit/vegetable_juice', 'newspapers', 'yogurt']",3,28.669999999999998
177,177,"['other_vegetables', 'root_vegetables']",2,15.059999999999999
178,178,"['fruit/vegetable_juice', 'onions']",2,18.33
179,179,"['newspapers', 'rolls/buns', 'snack_products', 'soda']",4,21.36
180,180,"['butter', 'fruit/vegetable_juice', 'newspapers']",3,26.79
181,181,"['fruit/vegetable_juice', 'long_life_bakery_product']",2,25.43
182,182,"['bottled_water', 'candy', 'pip_fruit', 'whole_milk']",4,28.89
183,183,"['cling_film/bags', 'pot_plants']",2,4.609999999999999
184,184,"['chicken', 'pastry']",2,24.29
185,185,"['pastry', 'specialty_bar', 'whipped/sour_cream']",3,17.61
186,186,"['brown_bread', 'root_vegetables']",2,17.79
187,187,"['rolls/buns', 'soda']",2,9.969999999999999
188,188,"['coffee', 'long_life_bakery_product']",2,15.809999999999999
189,189,"['canned_fish', 'pip_fruit', 'whole_milk']",3,21.67
190,190,"['rolls/buns', 'spices']",2,22.99
191,191,"['beverages', 'bottled_water', 'pastry']",3,22.38
192,192,"['beef', 'citrus_fruit', 'other_vegetables', 'rolls/buns']",4,32.84
193,193,"['detergent', 'root_vegetables', 'whole_milk']",3,28.05
194,194,"['bottled_water', 'yogurt']",2,18.81
195,195,"['frankfurter', 'newspapers', 'root_vegetables']",3,14.649999999999999
196,196,"['domestic_eggs', 'pastry', 'rolls/buns', 'tropical_fruit']",4,38.87
197,197,"['coffee', 'soda']",2,3.3
198,198,"['other_vegetables', 'tropical_fruit']",2,24.490000000000002
199,199,"['meat', 'other_vegetables']",2,19.54
200,200,"['newspapers', 'pastry', 'rolls/buns']",3,25.97
201,201,"['detergent', 'rolls/buns', 'whole_milk']",3,31.369999999999997
202,202,"['domestic_eggs', 'rolls/buns', 'soda', 'whole_milk']",4,26.29
203,203,"['chocolate_marshmallow', 'hard_cheese', 'whole_milk']",3,32.28
204,204,"['beverages', 'butter_milk', 'curd', 'yogurt']",4,31.56
205,205,"['butter', 'chicken', 'newspapers']",3,27.8
206,206,"['coffee', 'pastry', 'yogurt']",3,25.2
207,207,"['coffee', 'pastry']",2,13.66
208,208,"['beef', 'chicken', 'specialty_chocolate']",3,19.82
209,209,"['frozen_meals', 'rolls/buns', 'whole_milk']",3,28.369999999999997
210,210,"['canned_fish', 'rolls/buns']",2,10.75
211,211,"['artif._sweetener', 'curd', 'dental_care', 'uht-milk']",4,30.050000000000004
212,212,"['beef', 'berries', 'onions', 'rolls/buns']",4,25.43
213,213,"['hygiene_articles', 'newspapers', 'shopping_bags', 'yogurt']",4,28.67
214,214,"['bottled_water', 'candy']",2,9.43
215,215,"['beef', 'butter', 'frankfurter']",3,16.19
216,216,"['rolls/buns', 'shopping_bags', 'snack_products', 'soda']",4,25.86
217,217,"['bottled_water', 'hygiene_articles', 'pastry', 'whole_milk']",4,32.839999999999996
218,218,"['newspapers', 'rolls/buns']",2,14.18
219,219,"['specialty_bar', 'yogurt']",2,12.68
220,220,"['specialty_bar', 'whipped/sour_cream']",2,5.819999999999999
221,221,"['beverages', 'rolls/buns']",2,11.86
222,222,"['rolls/buns', 'shopping_bags']",2,18.68
223,223,"['bottled_water', 'soda']",2,8.7
224,224,"['bottled_water', 'newspapers', 'rolls/buns', 'spread_cheese']",4,26.32
225,225,"['rolls/buns', 'soda', 'spread_cheese', 'tropical_fruit']",4,29.490000000000002
226,226,"['chicken', 'herbs', 'hygiene_articles', 'onions']",4,30.88
227,227,"['beef', 'root_vegetables', 'tropical_fruit', 'yogurt']",4,34.15
228,228,"['frankfurter', 'mustard', 'rolls/buns']",3,23.919999999999998
229,229,"['grapes', 'soda']",2,12.73
230,230,"['beverages', 'rolls/buns']",2,11.86
231,231,"['flower_(seeds)', 'ice_cream', 'sugar']",3,27.759999999999998
232,232,"['beverages', 'bottled_water', 'dessert']",3,25.119999999999997
233,233,"['berries', 'other_vegetables', 'whipped/sour_cream', 'whole_milk']",4,34.26
234,234,"['oil', 'vinegar']",2,15.330000000000002
235,235,"['rolls/buns', 'soda', 'specialty_bar']",3,11.11
236,236,"['newspapers', 'rolls/buns']",2,14.18
237,237,"['flour', 'onions', 'other_vegetables']",3,31.23
238,238,"['rolls/buns', 'tropical_fruit', 'whole_milk']",3,35.62
239,239,"['meat', 'rolls/buns', 'soda', 'specialty_bar']",4,20.81
240,240,"['dessert', 'whole_milk']",2,26.96
241,241,"['bottled_water', 'pet_care']",2,15.879999999999999
242,242,"['other_vegetables', 'root_vegetables', 'shopping_bags', 'soda']",4,26.63
243,243,"['frozen_dessert', 'semi-finished_bread']",2,22.479999999999997
244,244,"['rolls/buns', 'root_vegetables', 'whole_milk', 'yogurt']",4,37.73
245,245,"['butter', 'coffee', 'root_vegetables', 'whole_milk']",4,29.18
246,246,"['newspapers', 'soda']",2,7.069999999999999
247,247,"['chewing_gum', 'whole_milk']",2,23.15
248,248,"['pot_plants', 'root_vegetables']",2,6.99
249,249,"['cream_cheese', 'rolls/buns', 'spread_cheese']",3,25.31
250,250,"['citrus_fruit', 'pip_fruit', 'tropical_fruit']",3,33.4
251,251,"['citrus_fruit', 'whole_milk']",2,24.15
252,252,"['whole_milk', 'yogurt']",2,23.97
253,253,"['berries', 'domestic_eggs', 'whipped/sour_cream', 'whole_milk']",4,28.31
254,254,"['packaged_fruit/vegetables', 'pastry', 'rolls/buns', 'whole_milk']",4,38.879999999999995
255,255,"['frankfurter', 'soda']",2,5.22
256,256,"['other_vegetables', 'whipped/sour_cream']",2,14.52
257,257,"['beef', 'other_vegetables']",2,12.58
258,258,"['frozen_meals', 'misc._beverages']",2,19.57
259,259,"['packaged_fruit/vegetables', 'pickled_vegetables']",2,11.030000000000001
260,260,"['berries', 'frozen_vegetables', 'instant_coffee', 'pet_care']",4,26.13
261,261,"['bottled_water', 'chewing_gum', 'napkins', 'soda']",4,29.550000000000004
262,262,"['ice_cream', 'rolls/buns']",2,11.069999999999999
263,263,"['citrus_fruit', 'frankfurter', 'rolls/buns', 'tropical_fruit']",4,38.7
264,264,"['beef', 'cream_cheese', 'root_vegetables', 'whole_milk']",4,32.29
265,265,"['hygiene_articles', 'sugar']",2,15.93
266,266,"['berries', 'whipped/sour_cream']",2,11.989999999999998
267,267,"['beverages', 'coffee', 'yogurt']",3,16.729999999999997
268,268,"['flower_(seeds)', 'potato_products']",2,22.439999999999998
269,269,"['chicken', 'other_vegetables', 'salt']",3,31.09
270,270,"['coffee', 'cream_cheese', 'fish']",3,24.66
271,271,"['misc._beverages', 'other_vegetables']",2,22.009999999999998
272,272,"['tropical_fruit', 'whole_milk']",2,27.08
273,273,"['cake_bar', 'newspapers', 'whole_milk']",3,30.939999999999998
274,274,"['chocolate', 'rolls/buns', 'whole_milk']",3,29.5
275,275,"['rolls/buns', 'soda']",2,9.969999999999999
276,276,"['citrus_fruit', 'other_vegetables', 'pip_fruit', 'tropical_fruit']",4,43.24
277,277,"['newspapers', 'pastry', 'sliced_cheese']",3,24.45
278,278,"['root_vegetables', 'whipped/sour_cream']",2,9.899999999999999
279,279,"['packaged_fruit/vegetables', 'pot_plants']",2,7.890000000000001
280,280,"['cream_cheese', 'whole_milk']",2,24.33
281,281,"['shopping_bags', 'soda']",2,11.57
282,282,"['frankfurter', 'popcorn']",2,15.7
283,283,"['frankfurter', 'rolls/buns']",2,12.329999999999998
284,284,"['frozen_fish', 'newspapers']",2,10.09
285,285,"['newspapers', 'tropical_fruit']",2,20.29
286,286,"['pot_plants', 'specialty_chocolate']",2,6.35
287,287,"['citrus_fruit', 'napkins', 'shopping_bags']",3,31.990000000000002
288,288,"['candles', 'detergent', 'pastry', 'whole_milk']",4,47.19
289,289,"['chewing_gum', 'other_vegetables', 'white_bread', 'whole_milk']",4,41.57
290,290,"['rolls/buns', 'shopping_bags', 'whole_milk']",3,31.11
291,291,"['chewing_gum', 'other_vegetables']",2,20.560000000000002
292,292,"['baking_powder', 'whipped/sour_cream', 'whole_milk']",3,20.03
293,293,"['coffee', 'rolls/buns']",2,10.41
294,294,"['ice_cream', 'newspapers']",2,8.17
295,295,"['frozen_meals', 'newspapers', 'whole_milk']",3,25.47
296,296,"['dog_food', 'long_life_bakery_product', 'salt']",3,29.84
297,297,"['other_vegetables', 'whole_milk', 'yogurt']",3,33.81
298,298,"['cat_food', 'oil', 'tropical_fruit']",3,32.82
299,299,"['butter_milk', 'frozen_fish', 'other_vegetables', 'salty_snack']",4,38.39
300,300,"['artif._sweetener', 'photo/film', 'soda']",3,20.13
301,301,"['coffee', 'detergent', 'frankfurter', 'whole_milk']",4,28.49
302,302,"['newspapers', 'whole_milk']",2,18.07
303,303,"['domestic_eggs', 'flower_soil/fertilizer', 'hygiene_articles', 'photo/film']",4,12.170000000000002
304,304,"['cream_cheese', 'margarine', 'tea']",3,32.35
305,305,"['citrus_fruit', 'onions']",2,18.560000000000002
306,306,"['other_vegetables', 'roll_products', 'whipped/sour_cream']",3,21.63
307,307,"['domestic_eggs', 'hygiene_articles', 'onions', 'soda']",4,13.51
308,308,"['long_life_bakery_product', 'rolls/buns']",2,22.479999999999997
309,309,"['ice_cream', 'long_life_bakery_product']",2,16.47
310,310,"['coffee', 'dishes', 'fruit/vegetable_juice']",3,20.33
311,311,"['butter', 'misc._beverages', 'pasta', 'whole_milk']",4,34.87
312,312,"['berries', 'butter_milk', 'citrus_fruit', 'yogurt']",4,44.019999999999996
313,313,"['margarine', 'newspapers']",2,12.5
314,314,"['butter_milk', 'yogurt']",2,24.99
315,315,"['rice', 'whole_milk']",2,15.86
316,316,"['white_bread', 'whole_milk']",2,21.009999999999998
317,317,"['grapes', 'soda', 'waffles', 'zwieback']",4,21.310000000000002
318,318,"['bottled_water', 'uht-milk']",2,9.799999999999999
319,319,"['margarine', 'yogurt']",2,18.4
320,320,"['chewing_gum', 'frankfurter', 'other_vegetables', 'specialty_cheese']",4,36.17
321,321,"['pastry', 'whole_milk']",2,24.22
322,322,"['bottled_water', 'dessert', 'soda']",3,23.229999999999997
323,323,"['butter', 'rolls/buns', 'salt']",3,26.95
324,324,"['misc._beverages', 'soda']",2,13.6
325,325,"['frozen_vegetables', 'whole_milk']",2,16.22
326,326,"['bottled_water', 'soda']",2,8.7
327,327,"['bottled_water', 'chewing_gum', 'soda']",3,19.42
328,328,"['citrus_fruit', 'frankfurter', 'turkey']",3,22.340000000000003
329,329,"['coffee', 'ice_cream', 'waffles']",3,7.11
330,330,"['chocolate', 'uht-milk', 'vinegar', 'waffles']",4,18.13
331,331,"['candy', 'popcorn']",2,14.07
332,332,"['candy', 'soda']",2,3.59
333,333,"['instant_coffee', 'uht-milk']",2,8.95
334,334,"['misc._beverages', 'shopping_bags', 'soda', 'whole_milk']",4,36.17
335,335,"['cat_food', 'dish_cleaner', 'shopping_bags']",3,23.73
336,336,"['root_vegetables', 'skin_care']",2,10.16
337,337,"['finished_products', 'fruit/vegetable_juice', 'other_vegetables', 'soda']",4,31.66
338,338,"['dental_care', 'oil', 'other_vegetables', 'yogurt']",4,42.95
339,339,"['nut_snack', 'other_vegetables']",2,12.9
340,340,"['newspapers', 'yogurt']",2,17.18
341,341,"['other_vegetables', 'sugar']",2,24.42
342,342,"['dessert', 'white_bread']",2,23.11
343,343,"['citrus_fruit', 'long_life_bakery_product', 'pip_fruit', 'tropical_fruit']",4,47.339999999999996
344,344,"['fruit/vegetable_juice', 'turkey', 'uht-milk', 'whole_milk']",4,33.28
345,345,"['chocolate', 'grapes', 'light_bulbs']",3,32.75
346,346,"['bottled_water', 'pot_plants']",2,9.04
347,347,"['hygiene_articles', 'pot_plants', 'prosecco']",3,14.620000000000001
348,348,"['dish_cleaner', 'napkins', 'soda', 'uht-milk']",4,20.48
349,349,"['bottled_water', 'pasta', 'tropical_fruit']",3,22.53
350,350,"['rolls/buns', 'uht-milk', 'yogurt']",3,22.61
351,351,"['coffee', 'rolls/buns']",2,10.41
352,352,"['brown_bread', 'whole_milk']",2,25.0
353,353,"['brown_bread', 'chocolate']",2,21.1
354,354,"['cream_cheese', 'other_vegetables', 'yogurt']",3,33.28
355,355,"['baby_cosmetics', 'cake_bar', 'citrus_fruit', 'shopping_bags']",4,45.66
356,356,"['frozen_potato_products', 'root_vegetables', 'whole_milk', 'yogurt']",4,35.959999999999994
357,357,"['domestic_eggs', 'seasonal_products', 'shopping_bags']",3,20.05
358,358,"['domestic_eggs', 'seasonal_products', 'shopping_bags', 'specialty_bar']",4,21.19
359,359,"['bottled_water', 'soda']",2,8.7
360,360,"['domestic_eggs', 'sliced_cheese', 'tropical_fruit', 'zwieback']",4,31.430000000000003
361,361,"['frozen_potato_products', 'pot_plants']",2,8.54
362,362,"['frankfurter', 'other_vegetables', 'zwieback']",3,19.5
363,363,"['bottled_water', 'frozen_potato_products', 'soda']",3,15.469999999999999
364,364,"['dessert', 'fruit/vegetable_juice', 'sweet_spreads', 'tropical_fruit']",4,50.269999999999996
365,365,"['brown_bread', 'rolls/buns']",2,21.11
366,366,"['citrus_fruit', 'coffee', 'tropical_fruit', 'whole_milk']",4,40.67
367,367,"['softener', 'yogurt']",2,20.509999999999998
368,368,"['soda', 'softener']",2,10.4
369,369,"['dental_care', 'newspapers', 'oil']",3,27.21
370,370,"['beverages', 'chocolate', 'fruit/vegetable_juice', 'whipped/sour_cream']",4,28.02
371,371,"['frozen_vegetables', 'specialty_chocolate', 'whole_milk']",3,20.8
372,372,"['coffee', 'shopping_bags']",2,12.010000000000002
373,373,"['rolls/buns', 'waffles']",2,11.25
374,374,"['brown_bread', 'citrus_fruit', 'pasta', 'yogurt']",4,36.44
375,375,"['cream_cheese', 'rolls/buns']",2,20.439999999999998
376,376,"['chicken', 'coffee', 'shopping_bags', 'whipped/sour_cream']",4,29.19
377,377,"['grapes', 'root_vegetables']",2,16.52
378,378,"['other_vegetables', 'root_vegetables', 'yogurt']",3,26.599999999999998
379,379,"['dish_cleaner', 'newspapers', 'oil']",3,23.0
380,380,"['onions', 'pet_care', 'specialty_bar', 'vinegar']",4,20.95
381,381,"['dessert', 'dishes']",2,21.5
382,382,"['chewing_gum', 'dishes', 'napkins']",3,27.82
383,383,"['beverages', 'chocolate_marshmallow', 'long_life_bakery_product', 'pastry']",4,38.69
384,384,"['cat_food', 'soda']",2,8.63
385,385,"['beverages', 'pastry', 'soda', 'whole_milk']",4,28.97
386,386,"['fruit/vegetable_juice', 'soda']",2,12.92
387,387,"['beverages', 'bottled_water', 'misc._beverages']",3,22.759999999999998
388,388,"['chocolate', 'whole_milk', 'yogurt']",3,32.5
389,389,"['brown_bread', 'whole_milk']",2,25.0
390,390,"['citrus_fruit', 'frozen_potato_products']",2,18.490000000000002
391,391,"['ice_cream', 'salty_snack', 'waffles']",3,15.89
392,392,"['fruit/vegetable_juice', 'long_life_bakery_product', 'pot_plants', 'root_vegetables']",4,32.42
393,393,"['chocolate', 'other_vegetables']",2,18.369999999999997
394,394,"['pastry', 'white_bread', 'whole_milk']",3,32.8
395,395,"['chocolate', 'mustard', 'oil', 'zwieback']",4,36.959999999999994
396,396,"['butter', 'dog_food', 'yogurt']",3,28.35
397,397,"['candy', 'chicken', 'shopping_bags', 'tropical_fruit']",4,39.45
398,398,"['coffee', 'cream_cheese', 'dishes', 'other_vegetables']",4,30.58
399,399,"['chicken', 'whole_milk']",2,24.93
400,400,"['chocolate', 'yogurt']",2,20.07
401,401,"['frozen_meals', 'pet_care', 'soda']",3,17.439999999999998
402,402,"['bottled_water', 'canned_fruit', 'meat_spreads']",3,11.44
403,403,"['butter', 'chocolate', 'waffles']",3,20.9
404,404,"['meat', 'yogurt']",2,21.24
405,405,"['butter', 'frozen_vegetables', 'root_vegetables', 'salty_snack']",4,29.32
406,406,"['instant_coffee', 'sugar', 'yogurt']",3,32.54
407,407,"['pastry', 'rolls/buns', 'soda', 'yogurt']",4,33.3
